Setup,bin,X,dX,R3D,dR3D,PyRes,dPyRes,M7,1,H
kin1,0,-7.35650,48.04343,-0.75521,0.02996,-0.02250,0.01660,-0.68419,1.00000,-0.73788,-0.00003
kin1,1,-70.62432,14.65784,-0.79552,0.07189,-0.02087,0.03781,-0.68680,1.00000,-0.76365,-0.00022
kin1,2,-45.10637,4.67676,-0.73079,0.07250,-0.01885,0.04024,-0.69013,1.00000,-0.74862,-0.00004
kin1,3,-30.15556,4.33013,-0.73829,0.08430,-0.00350,0.04432,-0.69326,1.00000,-0.74452,-0.00001
kin1,4,1.04120,18.55670,-0.74894,0.09256,-0.04619,0.05132,-0.69183,1.00000,-0.73670,-0.00000
kin1,5,36.74490,5.80006,-0.83458,0.08143,-0.06894,0.04246,-0.67764,1.00000,-0.72508,0.00001
kin1,6,63.83524,13.45029,-0.68938,0.05634,0.02514,0.03656,-0.66551,1.00000,-0.70876,0.00009
kin2,0,116.17732,32.94106,-0.87823,0.07929,-0.02995,0.02023,-0.77470,1.00000,-0.80870,-0.00000
kin3,0,-157.85008,33.71652,-1.13331,0.03398,-0.00361,0.00801,-1.07364,1.00000,-1.19052,0.00020
kin3,1,-218.81222,17.32223,-0.96007,0.07127,-0.00345,0.02144,-0.90388,1.00000,-1.18889,-0.00038
kin3,2,-183.48439,6.49740,-1.01676,0.07486,0.02264,0.02062,-1.06299,1.00000,-1.19875,0.00007
kin3,3,-165.62035,4.17235,-1.08467,0.08519,0.01133,0.02042,-1.10438,1.00000,-1.20237,0.00027
kin3,4,-152.77720,3.36332,-1.24778,0.10273,-0.00935,0.02066,-1.11649,1.00000,-1.19959,0.00036
kin3,5,-141.37028,3.22700,-1.31372,0.12098,-0.03556,0.02111,-1.11534,1.00000,-1.19122,0.00040
kin3,6,-129.74592,3.58580,-1.18058,0.09782,-0.01754,0.02200,-1.10965,1.00000,-1.18143,0.00039
kin3,7,-113.17648,7.65066,-1.20894,0.10079,-0.00118,0.02558,-1.10231,1.00000,-1.17129,0.00032
kin4,0,-40.41645,20.10357,-1.31203,0.10983,0.00625,0.00556,-1.33788,1.00000,-1.41686,0.00002
