Setup,bin,X,dX,R3D,dR3D,PyRes,dPyRes,M7,1,H
kin1,0,0.00154,0.00984,-0.75540,0.02997,-0.02255,0.01661,-0.71888,1.00000,-0.73890,0.00025
kin1,1,-0.01269,0.00445,-0.68863,0.05633,0.02647,0.03663,-0.69839,1.00000,-0.72118,0.00029
kin1,2,-0.00694,0.00086,-0.83740,0.08173,-0.07131,0.04234,-0.71213,1.00000,-0.72764,0.00020
kin1,3,0.00006,0.00487,-0.74260,0.09099,-0.03926,0.05114,-0.72750,1.00000,-0.73654,0.00010
kin1,4,0.00602,0.00051,-0.74817,0.08640,-0.01195,0.04465,-0.72884,1.00000,-0.74481,0.00019
kin1,5,0.00826,0.00085,-0.72771,0.07198,-0.01590,0.04010,-0.72523,1.00000,-0.74868,0.00027
kin1,6,0.01454,0.00500,-0.79498,0.07183,-0.02103,0.03781,-0.72121,1.00000,-0.75454,0.00044
kin2,0,-0.03313,0.01690,-0.87918,0.07946,-0.03034,0.02022,-0.81109,1.00000,-0.82216,0.00013
kin3,0,0.05573,0.02257,-1.13325,0.03398,-0.00359,0.00801,-1.12334,1.00000,-1.32293,0.00040
kin3,1,0.02974,0.00411,-1.20852,0.10070,-0.00124,0.02557,-1.15657,1.00000,-1.24554,0.00033
kin3,2,0.03767,0.00185,-1.18224,0.09782,-0.01613,0.02191,-1.16340,1.00000,-1.28044,0.00041
kin3,3,0.04389,0.00179,-1.31366,0.12133,-0.03696,0.02120,-1.16859,1.00000,-1.30772,0.00043
kin3,4,0.05045,0.00204,-1.23938,0.10091,-0.00411,0.02057,-1.16890,1.00000,-1.33279,0.00041
kin3,5,0.05854,0.00272,-1.08489,0.08523,0.01139,0.02042,-1.15511,1.00000,-1.35095,0.00038
kin3,6,0.07083,0.00469,-1.01616,0.07481,0.02264,0.02062,-1.11017,1.00000,-1.36098,0.00033
kin3,7,0.09904,0.01520,-0.96037,0.07131,-0.00354,0.02145,-0.94017,1.00000,-1.38213,0.00048
kin4,0,0.00821,0.00418,-1.31343,0.11007,0.00616,0.00556,-1.40615,1.00000,-1.44368,0.00012
