Setup,bin,X,dX,R3D,dR3D,PyRes,dPyRes,M7,1,H
kin1,0,0.00154,0.00984,-0.75511,0.02995,-0.02246,0.01660,-0.68418,1.00000,-0.74833,-0.00003
kin1,1,-0.01269,0.00445,-0.68743,0.05626,0.02745,0.03663,-0.66538,1.00000,-0.69723,0.00009
kin1,2,-0.00694,0.00086,-0.83742,0.08173,-0.07132,0.04234,-0.67762,1.00000,-0.71874,0.00002
kin1,3,0.00006,0.00487,-0.74309,0.09112,-0.04025,0.05113,-0.69184,1.00000,-0.74060,-0.00000
kin1,4,0.00602,0.00051,-0.74815,0.08639,-0.01176,0.04465,-0.69327,1.00000,-0.76016,-0.00001
kin1,5,0.00826,0.00085,-0.72692,0.07186,-0.01594,0.04009,-0.69014,1.00000,-0.77160,-0.00004
kin1,6,0.01454,0.00500,-0.79552,0.07189,-0.02087,0.03781,-0.68680,1.00000,-0.80169,-0.00022
kin2,0,-0.03313,0.01690,-0.87833,0.07930,-0.03003,0.02022,-0.77485,1.00000,-0.79144,-0.00001
kin3,0,0.05573,0.02257,-1.13322,0.03397,-0.00357,0.00801,-1.07363,1.00000,-1.39669,0.00020
kin3,1,0.02974,0.00411,-1.20784,0.10057,-0.00081,0.02557,-1.10225,1.00000,-1.28351,0.00032
kin3,2,0.03767,0.00185,-1.18198,0.09779,-0.01626,0.02191,-1.10968,1.00000,-1.32468,0.00039
kin3,3,0.04389,0.00179,-1.31377,0.12128,-0.03708,0.02119,-1.11536,1.00000,-1.35912,0.00040
kin3,4,0.05045,0.00204,-1.23993,0.10097,-0.00411,0.02057,-1.11650,1.00000,-1.39329,0.00036
kin3,5,0.05854,0.00272,-1.08484,0.08521,0.01130,0.02042,-1.10438,1.00000,-1.42474,0.00027
kin3,6,0.07083,0.00469,-1.01676,0.07486,0.02264,0.02062,-1.06299,1.00000,-1.45843,0.00007
kin3,7,0.09904,0.01520,-0.96000,0.07125,-0.00339,0.02144,-0.90388,1.00000,-1.53325,-0.00038
kin4,0,0.00821,0.00418,-1.31204,0.10984,0.00621,0.00556,-1.33788,1.00000,-1.45618,0.00002
