Setup,bin,X,dX,R3D,dR3D,PyRes,dPyRes,M7,1,H
kin1,0,2.72960,1.44316,-0.75511,0.02995,-0.02246,0.01660,-0.68418,1.00000,-0.74833,-0.00003
kin1,1,0.86840,0.29549,-0.83982,0.11289,-0.02407,0.05224,-0.69491,1.00000,-0.74662,-0.00000
kin1,2,1.62188,0.18295,-0.91679,0.12849,-0.08975,0.04742,-0.69082,1.00000,-0.74691,-0.00000
kin1,3,2.23318,0.17320,-0.77322,0.08448,-0.04228,0.04400,-0.68728,1.00000,-0.74763,-0.00001
kin1,4,2.86823,0.19828,-0.63883,0.05519,0.02418,0.04065,-0.68363,1.00000,-0.74804,-0.00002
kin1,5,3.64858,0.26391,-0.79922,0.07426,-0.04120,0.03837,-0.67870,1.00000,-0.74836,-0.00003
kin1,6,5.11923,0.84051,-0.72548,0.05692,-0.01511,0.03446,-0.66990,1.00000,-0.75237,-0.00009
kin2,0,3.36296,1.62841,-0.87833,0.07930,-0.03003,0.02022,-0.77485,1.00000,-0.79144,-0.00001
kin3,0,4.35442,2.09228,-1.13322,0.03397,-0.00357,0.00801,-1.07363,1.00000,-1.39669,0.00020
kin3,1,1.32180,0.47621,-1.49993,0.17708,-0.05988,0.02525,-1.10529,1.00000,-1.39833,0.00003
kin3,2,2.50092,0.27347,-1.24632,0.11654,-0.01139,0.02461,-1.09716,1.00000,-1.39591,0.00008
kin3,3,3.38688,0.24378,-1.03264,0.07852,0.03300,0.02376,-1.08892,1.00000,-1.39562,0.00012
kin3,4,4.22157,0.24108,-1.16458,0.10219,-0.02644,0.02282,-1.08016,1.00000,-1.39547,0.00017
kin3,5,5.09323,0.26544,-1.10595,0.08739,-0.01228,0.02191,-1.06860,1.00000,-1.39594,0.00023
kin3,6,6.12153,0.33880,-1.09844,0.08921,0.00251,0.02071,-1.05454,1.00000,-1.39607,0.00032
kin3,7,7.83058,0.87047,-1.08055,0.08170,-0.00596,0.01983,-1.02076,1.00000,-1.39954,0.00048
kin4,0,3.33994,1.73681,-1.31204,0.10984,0.00621,0.00556,-1.33788,1.00000,-1.45618,0.00002
