Setup,bin,X,dX,R3D,dR3D,PyRes,dPyRes,M7,1,H
kin1,0,89.19732,42.82871,-0.75511,0.02995,-0.02246,0.01660,-0.68418,1.00000,-0.74833,-0.00003
kin1,1,27.46412,10.01194,-0.97808,0.14703,-0.08133,0.04733,-0.70732,1.00000,-0.80337,-0.00006
kin1,2,53.67662,6.575844,-0.65729,0.06101,-0.00847,0.04053,-0.68947,1.00000,-0.77925,-0.00002
kin1,3,76.56928,6.72064,-0.69916,0.06513,-0.04025,0.03902,-0.68140,1.00000,-0.75563,-0.00002
kin1,4,100.32354,6.980631,-0.78058,0.07078,-0.00616,0.03865,-0.67825,1.00000,-0.73672,-0.00002
kin1,5,124.76143,7.08472,-0.80592,0.07333,-0.03707,0.03887,-0.67594,1.00000,-0.71851,-0.00002
kin1,6,152.38641,10.22257,-0.70189,0.06266,0.02279,0.04464,-0.67267,1.00000,-0.69648,-0.00002
kin2,0,163.82181,8.23745,-0.87833,0.07930,-0.03003,0.02022,-0.77485,1.00000,-0.79144,-0.00001
kin3,0,18.55725,9.41328,-1.13322,0.03397,-0.00357,0.00801,-1.07363,1.00000,-1.39669,0.00020
kin3,1,5.44309,1.97264,-1.34493,0.14468,-0.04087,0.02446,-1.09341,1.00000,-1.42463,-0.00011
kin3,2,10.36733,1.14518,-1.23260,0.10639,-0.00720,0.02380,-1.08294,1.00000,-1.42045,0.00011
kin3,3,14.08924,1.02891,-1.13741,0.09928,-0.00994,0.02299,-1.07398,1.00000,-1.41502,0.00018
kin3,4,17.64787,1.03812,-1.06224,0.08053,0.01513,0.02205,-1.06648,1.00000,-1.40777,0.00023
kin3,5,21.44628,1.18243,-1.17576,0.089212,-0.01587,0.02124,-1.06194,1.00000,-1.39671,0.00028
kin3,6,26.15601,1.59166,-1.08552,0.08405,0.00157,0.02073,-1.06574,1.00000,-1.37730,0.00034
kin3,7,34.75086,4.56386,-1.23965,0.11539,-0.05072,0.02237,-1.07094,1.00000,-1.33496,0.00039
kin4,0,51.75018,25.91926,-1.31204,0.10984,0.00621,0.00556,-1.33788,1.00000,-1.45618,0.00002
