nu,PW,DWIA,M7
-0.149375,0.859073,0.359294,0.335321
-0.148125,0.858327,0.366673,0.341788
-0.146875,0.859093,0.372633,0.347341
-0.145625,0.858686,0.381260,0.354443
-0.144375,0.857731,0.384550,0.358474
-0.143125,0.858822,0.387290,0.361905
-0.141875,0.858796,0.393406,0.368242
-0.140625,0.858048,0.402187,0.375130
-0.139375,0.857360,0.405646,0.379569
-0.138125,0.858533,0.412811,0.386073
-0.136875,0.858584,0.422166,0.394339
-0.135625,0.859728,0.424411,0.397859
-0.134375,0.860051,0.430566,0.403670
-0.133125,0.859622,0.437024,0.410024
-0.131875,0.860635,0.441801,0.415886
-0.130625,0.860652,0.447988,0.421793
-0.129375,0.861721,0.452998,0.427267
-0.128125,0.862030,0.459111,0.433662
-0.126875,0.861836,0.465164,0.439994
-0.125625,0.862697,0.471634,0.446464
-0.124375,0.864310,0.477640,0.452858
-0.123125,0.864712,0.484534,0.459638
-0.121875,0.865372,0.489931,0.466252
-0.120625,0.865882,0.497938,0.473735
-0.119375,0.866415,0.503660,0.480213
-0.118125,0.867309,0.508332,0.485897
-0.116875,0.868190,0.515823,0.493457
-0.115625,0.869208,0.522837,0.500536
-0.114375,0.869077,0.530299,0.508050
-0.113125,0.870025,0.537065,0.515108
-0.111875,0.870432,0.542777,0.521722
-0.110625,0.871300,0.549537,0.528987
-0.109375,0.871903,0.555905,0.535855
-0.108125,0.873206,0.563064,0.543237
-0.106875,0.874165,0.568823,0.549994
-0.105625,0.874440,0.575712,0.557056
-0.104375,0.875523,0.581968,0.563934
-0.103125,0.876306,0.588331,0.570932
-0.101875,0.877135,0.594669,0.577902
-0.100625,0.877925,0.601734,0.585269
-0.099375,0.878859,0.607642,0.591730
-0.098125,0.879487,0.614293,0.599000
-0.096875,0.880321,0.619909,0.605358
-0.095625,0.881509,0.626225,0.612185
-0.094375,0.882572,0.631964,0.618806
-0.093125,0.883359,0.637568,0.625002
-0.091875,0.884373,0.644320,0.632187
-0.090625,0.885147,0.649603,0.638221
-0.089375,0.886250,0.655403,0.644699
-0.088125,0.887243,0.661210,0.651026
-0.086875,0.887813,0.666438,0.657204
-0.085625,0.889109,0.671420,0.663175
-0.084375,0.890117,0.677375,0.669634
-0.083125,0.891026,0.682750,0.675546
-0.081875,0.891799,0.687995,0.681490
-0.080625,0.892678,0.693651,0.687501
-0.079375,0.893680,0.697981,0.692733
-0.078125,0.894380,0.703442,0.698490
-0.076875,0.895337,0.708135,0.703977
-0.075625,0.896392,0.713241,0.709618
-0.074375,0.897313,0.717482,0.714655
-0.073125,0.898380,0.721982,0.719788
-0.071875,0.899038,0.727487,0.725474
-0.070625,0.900191,0.731874,0.730521
-0.069375,0.901170,0.736226,0.735508
-0.068125,0.901786,0.740983,0.740525
-0.066875,0.902788,0.745314,0.745269
-0.065625,0.903673,0.749024,0.749708
-0.064375,0.904481,0.753519,0.754561
-0.063125,0.905029,0.757914,0.759217
-0.061875,0.906157,0.762091,0.763830
-0.060625,0.906812,0.766189,0.768210
-0.059375,0.907496,0.770285,0.772566
-0.058125,0.908189,0.774383,0.776886
-0.056875,0.908837,0.778454,0.781079
-0.055625,0.909443,0.782007,0.784895
-0.054375,0.909993,0.786136,0.789075
-0.053125,0.910617,0.790096,0.793079
-0.051875,0.910926,0.794336,0.797135
-0.050625,0.911430,0.798173,0.800972
-0.049375,0.911849,0.801578,0.804433
-0.048125,0.912178,0.805684,0.808317
-0.046875,0.912527,0.809594,0.812027
-0.045625,0.912839,0.813442,0.815655
-0.044375,0.913120,0.817218,0.819215
-0.043125,0.913474,0.820893,0.822617
-0.041875,0.913758,0.824751,0.826180
-0.040625,0.914086,0.828427,0.829545
-0.039375,0.914383,0.832125,0.832900
-0.038125,0.914679,0.835828,0.836253
-0.036875,0.914994,0.839546,0.839606
-0.035625,0.915264,0.843170,0.842820
-0.034375,0.915819,0.847226,0.846405
-0.033125,0.916142,0.850885,0.849646
-0.031875,0.916451,0.854488,0.852800
-0.030625,0.916800,0.858091,0.855964
-0.029375,0.917195,0.861671,0.859132
-0.028125,0.917369,0.864924,0.861941
-0.026875,0.917404,0.868010,0.864579
-0.025625,0.916426,0.870049,0.866269
-0.024375,0.915047,0.871633,0.867555
-0.023125,0.911421,0.871154,0.866788
-0.021875,0.903238,0.866201,0.861758
-0.020625,0.888869,0.855589,0.851340
-0.019375,0.875360,0.845726,0.841798
-0.018125,0.870349,0.844096,0.840269
-0.016875,0.871774,0.848014,0.844132
-0.015625,0.875747,0.854212,0.850316
-0.014375,0.880315,0.861096,0.857240
-0.013125,0.885422,0.868248,0.864376
